nombre,rif,sector,tipo_entidad
Acciones y Valores Casa de Bolsa S.A.,J-00103786-1,Valores,Casa de Bolsa
Activalores Casa de Bolsa S.A.,J-00345605-5,Valores,Casa de Bolsa
Agronet Casa de Bolsa Agricola C.A.,J-31006152-3,Agricola,Casa de Bolsa
Banesco Casa de Bolsa C.A.,J-30397940-8,Valores,Casa de Bolsa
Banctrust Securities Casa de Bolsa,J-40115038-1,Valores,Casa de Bolsa
BNCI Casa de Bolsa C.A.,J-41295972-7,Valores,Casa de Bolsa
Bursagro Casa de Bolsa Agricola C.A.,J-41262970-0,Agricola,Casa de Bolsa
Campo Valores Casa de Bolsa Agricola,J-50077977-1,Agricola,Casa de Bolsa
Caroni Casa de Bolsa S.A.,J-30664653-1,Valores,Casa de Bolsa
Cuadra Casa de Bolsa S.A.,J-00322980-6,Valores,Casa de Bolsa
Fivenca Casa de Bolsa C.A.,J-30683313-7,Valores,Casa de Bolsa
Financorp Valores Casa de Bolsa C.A.,J-00290132-2,Valores,Casa de Bolsa
GBC Casa de Bolsa,J-40157013-5,Valores,Casa de Bolsa
Grupo Bursatil Venezolano Casa de Bolsa,J-30472421-6,Valores,Casa de Bolsa
Incorp Casa de Bolsa C.A.,J-00291049-6,Valores,Casa de Bolsa
Intercapital Casa de Bolsa S.A.,J-30349635-0,Valores,Casa de Bolsa
Italcapital Casa de Bolsa C.A.,J-30663730-3,Valores,Casa de Bolsa
Kaizen Casa de Bolsa C.A.,J-50019916-3,Valores,Casa de Bolsa
Kairos Valores Casa de Bolsa C.A.,J-29370493-6,Valores,Casa de Bolsa
Maximiza Casa de Bolsa C.A.,J-31128531-8,Valores,Casa de Bolsa
Mercantil Merinvest Casa de Bolsa C.A.,J-00300384-0,Valores,Casa de Bolsa
Mercosur Casa de Bolsa S.A.,J-30455414-1,Valores,Casa de Bolsa
Provincial Casa de Bolsa C.A.,J-07043098-2,Valores,Casa de Bolsa
Rendivalores Casa de Bolsa C.A.,J-31221714-6,Valores,Casa de Bolsa
Solfin Casa de Bolsa C.A.,J-30349479-0,Valores,Casa de Bolsa
Statera Casa de Bolsa C.A.,J-41221469-1,Valores,Casa de Bolsa
Valores Vencred Casa de Bolsa S.A.,J-00222609-9,Valores,Casa de Bolsa
Victory Casa de Bolsa S.A.,J-30514151-6,Valores,Casa de Bolsa
Italcambio C.A.,J-00066516-7,Cambiario,Casa de Cambio
Casa de Cambio Zoom C.A.,J-00220130-4,Cambiario,Casa de Cambio
Casa de Cambio Insular C.A.,J-00083168-7,Cambiario,Casa de Cambio
Casa de Cambio Angulo Lopez C.A.,J-00068531-1,Cambiario,Casa de Cambio
Transferencias e Intercambios Mundiales C.A.,J-30404051-2,Cambiario,Casa de Cambio
Intercombi C.A.,J-30713175-6,Cambiario,Casa de Cambio